Id,Emotion,reel,owner_username,text,caption,hashtags,full_text,mentions,like_count,comment_count,view_count,taken_at,display_url,width,height,raw_video_path,raw_audio_path,cleaned_audio_path,engagement_rate,category
1,Trust,False,irsani,lima latihan beban di rumah untuk lansia yang pertama sit to stand gerak duduk berdiri dengan kursi dan bisa ditambah dengan pemberat yang kedua trunk extension sambil tetap duduk tekuk punggung ke depan lalu tegapkan kembali bebannya disesuaikan ya yang ketiga incline push up lakukan push up dengan menggunakan tembok yang keempat seated overhead press sambil duduk angkat botol ke atas atau bisa menggunakan dengan dumbbell yang kelima seated dumbbell row dengan posisi punggung maju ke depan angkat siku ke atas sambil memegang beban lakukan ini 2 3 kali seminggu ya follow aku untuk tips berikutnya,ada kata telat memulai memperkuat otot latihan beban dirumah lansia pemula sit to stand melatih kaki trunk extention otot punggung incline push up otot bahu dada seated overhead pres otot bahu seated dumbel row otot punggung lakukan kali x set kali seminggu kalau main kuat di tambah beban menstimulasi otot lebih berkembang yuk konsisten untuk si otot dimulai rumah tanda centang putih tebal pake alat ada tanda centang putih tebal kalo harus beli terhitung investasi,"['olahragadirumah', 'tipsolahragadirumah', 'latihanbeban', 'fitnessjourney', 'fitness', 'workoutdirumah', 'lansia', 'menulatihanibuksani', 'tips', 'workout', 'olahraga']",lima latihan beban di rumah untuk lansia yang pertama sit to stand gerak duduk berdiri dengan kursi dan bisa ditambah dengan pemberat yang kedua trunk extension sambil tetap duduk tekuk punggung ke depan lalu tegapkan kembali bebannya disesuaikan ya yang ketiga incline push up lakukan push up dengan menggunakan tembok yang keempat seated overhead press sambil duduk angkat botol ke atas atau bisa menggunakan dengan dumbbell yang kelima seated dumbbell row dengan posisi punggung maju ke depan angkat siku ke atas sambil memegang beban lakukan ini 2 3 kali seminggu ya follow aku untuk tips berikutnya ada kata telat memulai memperkuat otot latihan beban dirumah lansia pemula sit to stand melatih kaki trunk extention otot punggung incline push up otot bahu dada seated overhead pres otot bahu seated dumbel row otot punggung lakukan kali x set kali seminggu kalau main kuat di tambah beban menstimulasi otot lebih berkembang yuk konsisten untuk si otot dimulai rumah tanda centang putih tebal pake alat ada tanda centang putih tebal kalo harus beli terhitung investasi olahragadirumah tipsolahragadirumah latihanbeban fitnessjourney fitness workoutdirumah lansia menulatihanibuksani tips workout olahraga,[],21935,510,368499,2025-01-20 00:01:38+00:00,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/473823953_18478889314033697_31675865077846353_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEhHgtCuX1RQmGvH3s0mt0rbndGCA2CfE9mFs_XrQYeSinflbrWp03FR52KB8f-xeM&_nc_ohc=eIYB8H7quacQ7kNvwEFbjmy&_nc_gid=FGglkk54MoixrT3zj6pc0g&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfeDPzv8-gyYuk4c8v1JDVbaQciaZxxnnIIjXRqM8ABCag&oe=68E6B4F5&_nc_sid=d885a2,1080,1920,/content/drive/MyDrive/Semi_Nuked/raw_videos/0001.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0001.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0001_clean.flac,0.06090925619879549,Fitness & Gym
2,Proud,False,diosmashh,abis main badminton tangan sering sakit emang iya gerakan berulang seperti smash bisa menyebabkan cedera otot atau bisa juga dikarenakan doms ketika jaringan otot berusaha beradaptasi setelah olahraga berat untuk mengatasi nyeri otot setelah olahraga biasanya gue lakuin pendinginan atau mengompres es batu di area yang sakit dan gue juga biasanya minum protein drink dari pro 8g yang mengandung 8 gram protein dengan rasa yang clear dan gak bikin enak jadi bisa bantu gue recovery lagi setelah berolahraga gimana udah siap cobain di lapangan jangan lupa follow ya,protein drink andalan gua bantu recovery setelah olahraga id protein drink mengandung g protein clear refreshing rasanya enak seger gak bikin eneg low sugar lactose free and preservative free pilihan rasa passion fruit tea honey lemon,"['thelighterwhey', 'pro8g']",abis main badminton tangan sering sakit emang iya gerakan berulang seperti smash bisa menyebabkan cedera otot atau bisa juga dikarenakan doms ketika jaringan otot berusaha beradaptasi setelah olahraga berat untuk mengatasi nyeri otot setelah olahraga biasanya gue lakuin pendinginan atau mengompres es batu di area yang sakit dan gue juga biasanya minum protein drink dari pro 8g yang mengandung 8 gram protein dengan rasa yang clear dan gak bikin enak jadi bisa bantu gue recovery lagi setelah berolahraga gimana udah siap cobain di lapangan jangan lupa follow ya protein drink andalan gua bantu recovery setelah olahraga id protein drink mengandung g protein clear refreshing rasanya enak seger gak bikin eneg low sugar lactose free and preservative free pilihan rasa passion fruit tea honey lemon thelighterwhey pro8g,['pro8g'],156,13,4564,2024-12-06 10:16:38+00:00,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/469482608_17890096116133329_4157014709391134089_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QGGd3Ow_0PM0Z8ncJr1QXf2J385G6cQbFMn-qtQLHIIUrNs9wx-rtCgkMz5m4R98IM&_nc_ohc=iatJwkGVxxAQ7kNvwF_f_Gb&_nc_gid=jqHiHID3hJ7-qMu2OQN_YA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcIjrAikdCSRMG3925t7VU-7uqzn00u-nX_4i5UtxjjDQ&oe=68E6B372&_nc_sid=d885a2,750,1333,/content/drive/MyDrive/Semi_Nuked/raw_videos/0002.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0002.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0002_clean.flac,0.03702892199823903,Fitness & Gym
3,Trust,False,ameliafransissca,akhirnya gue ikut event lari lagi setelah setiap satu tahun jauh nih gue ke bandung dan bangun di pagi buta demi ikut acara dog fest run 2025 ini pas larinya dimulai drama gue pun ikut dimulai tiba tiba perut gue tuh keram banget gak karuan tapi gue gak videoin pas posisi perut gue full semuanya keram banget itu gue udah gak fokus deh buat video videoin pokoknya gue fokus sama diri gue sendiri aja harus kuat sampe ke garis finish karena selama proses keram perut itu gue udah mulai panik banget soalnya itu tuh berlangsung lumayan lama sampai 2 5 km gue bener bener full keram perut tapi ya gue lawan semua rasa sakit itu karena gue gak mau kalah gue harus bisa kuat semangat sampe finish line dan sampe akhirnya gue pun berhasil guys sampe finish line walaupun ini gak sesuai target gue ya tapi gue udah berhasil finish di 37 menit untuk 5k nah pas udah selesai lari gue kos kos sama kerumunan ini karena panjang dan ternyata guys ini tuh boothnya pil kita yang lagi dikerumunin orang orang karena disini tuh setiap pembelian minimal rp25 000 kita tuh bisa dapetin grafir medali loh nih kalian liat deh medali gue jadi ada tulisan nama gue dan menit gue finish ah keren banget ini fiksi bakalan gue pajang di rumah nanti nah gak lupa juga nih selesai lari gue langsung minum pil kita yang sirup ini sebagai pilihan herbal yang terdiri dari cabai jawa jahe merah dan juga ada madunya yang tepat banget buat ngatasin capek yang pegeli nu dan nyari otot sehabis lari tapi tenang aja nih guys ini gak bakalan bikin kita jadi ketergantengan kok jadi walaupun gue habis lari gak ada lagi nih drama drama kecapean,nyoba event lari skip setahun super happy ga capek soalnya id,"['pilkitadocrunfest2025', 'running', 'gakadacapeknya']",akhirnya gue ikut event lari lagi setelah setiap satu tahun jauh nih gue ke bandung dan bangun di pagi buta demi ikut acara dog fest run 2025 ini pas larinya dimulai drama gue pun ikut dimulai tiba tiba perut gue tuh keram banget gak karuan tapi gue gak videoin pas posisi perut gue full semuanya keram banget itu gue udah gak fokus deh buat video videoin pokoknya gue fokus sama diri gue sendiri aja harus kuat sampe ke garis finish karena selama proses keram perut itu gue udah mulai panik banget soalnya itu tuh berlangsung lumayan lama sampai 2 5 km gue bener bener full keram perut tapi ya gue lawan semua rasa sakit itu karena gue gak mau kalah gue harus bisa kuat semangat sampe finish line dan sampe akhirnya gue pun berhasil guys sampe finish line walaupun ini gak sesuai target gue ya tapi gue udah berhasil finish di 37 menit untuk 5k nah pas udah selesai lari gue kos kos sama kerumunan ini karena panjang dan ternyata guys ini tuh boothnya pil kita yang lagi dikerumunin orang orang karena disini tuh setiap pembelian minimal rp25 000 kita tuh bisa dapetin grafir medali loh nih kalian liat deh medali gue jadi ada tulisan nama gue dan menit gue finish ah keren banget ini fiksi bakalan gue pajang di rumah nanti nah gak lupa juga nih selesai lari gue langsung minum pil kita yang sirup ini sebagai pilihan herbal yang terdiri dari cabai jawa jahe merah dan juga ada madunya yang tepat banget buat ngatasin capek yang pegeli nu dan nyari otot sehabis lari tapi tenang aja nih guys ini gak bakalan bikin kita jadi ketergantengan kok jadi walaupun gue habis lari gak ada lagi nih drama drama kecapean nyoba event lari skip setahun super happy ga capek soalnya id pilkitadocrunfest2025 running gakadacapeknya,"['pilkita', 'docfestrun']",244,3,6731,2025-08-07 12:09:03+00:00,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/527917317_1302597374858355_8543347678353645401_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEjCkU6oQC9aqtxww2XkAVchOZjdCxzm5tDsxlmgawvKXpPbBU0kMs-aqXanVNHgrA&_nc_ohc=-JKd8MgT2YEQ7kNvwGym7z5&_nc_gid=FyNSatkd4yfYtgTQRY4NSg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdO_XRDqHOUPKs_ZM6sk_b0bhfOu-OIgEK40e9ehk_xOA&oe=68E69AC9&_nc_sid=d885a2,640,1136,/content/drive/MyDrive/Semi_Nuked/raw_videos/0003.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0003.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0003_clean.flac,0.03669588471251869,Beauty & Skincare
4,Surprise,False,diosmashh,bedah strategi main badminton gua part 1 nah disini ketika gua angkat bola gua sama partner gua langsung siap defense tangan kiri dan ketika lawan forcemashnya udah keliatan berkurang gua bisa defense dengan banting bola ke arah silang jadi formasi lawan sedikit berantakan tapi lawannya oke banget nih masih bisa rapih lagi posisinya kita atur bola lagi tunggu lawan bikin kesalahan main sabar dulu dan ketika dapet bola tanggung vika nah kalo ini tempat favorit gua buat balikin service lawan lumayan bikin bingung lawan siapa yang harus ambil pemain depan atau pemain belakang lihat hasilnya lawan harus ekstra komunikasi dan jadi hasilin celah serang buat gua tanpa harus smash gimana lanjut part 2 gak nih jangan lupa follow ya sub indo by broth3rmax,lanjut part ga nih wajah berpikir,[],bedah strategi main badminton gua part 1 nah disini ketika gua angkat bola gua sama partner gua langsung siap defense tangan kiri dan ketika lawan forcemashnya udah keliatan berkurang gua bisa defense dengan banting bola ke arah silang jadi formasi lawan sedikit berantakan tapi lawannya oke banget nih masih bisa rapih lagi posisinya kita atur bola lagi tunggu lawan bikin kesalahan main sabar dulu dan ketika dapet bola tanggung vika nah kalo ini tempat favorit gua buat balikin service lawan lumayan bikin bingung lawan siapa yang harus ambil pemain depan atau pemain belakang lihat hasilnya lawan harus ekstra komunikasi dan jadi hasilin celah serang buat gua tanpa harus smash gimana lanjut part 2 gak nih jangan lupa follow ya sub indo by broth3rmax lanjut part ga nih wajah berpikir,[],183,9,2428,2025-04-13 16:02:42+00:00,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/491516367_17905293570133329_4368229233357611533_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFyc8Gy5Q9YnphWKMFQq5j0zunMmD1f9D15zUOiggo7se2otJhBkgrBpa4spatFD4c&_nc_ohc=cehvGrYdn3YQ7kNvwGHnK0x&_nc_gid=3KPtmtffaU0Ypk2HgRmbQA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfeWYBRwmLAaBitQSfmKIYen29wJiFOgeyr6C1wpcuz8xw&oe=68E6A685&_nc_sid=d885a2,750,1333,/content/drive/MyDrive/Semi_Nuked/raw_videos/0004.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0004.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0004_clean.flac,0.07907742998349297,Fitness & Gym
5,Proud,False,diosmashh,benda serta ig main badminton gua part 3 kali ini gua dapet lawan yang kuat banget defense nya dan penempatan bolanya juga rapi jadi gua harus bener bener sabar dan hemat tenaga atur tempo permainan defense main lock cari area yang kosong lock lagi drop shot jadi kedapet momen yang pas baru hajar smash nah kalian juga harus bisa baca permainan lawan ya kalo lawannya kuat defense ya jangan di smash terus nanti tenaga kalian cepet habis dan jadi sulit di poin poin akhir harus bintar baca area yang kosong karena badminton itu ga cuma permainan power tapi butuh juga konsentrasi dan kecerdasan otak main sabar aja tenang nanti juga ketika lawan catfishnya udah berkurang pasti ada titik serang yang enak atau lawan bikin error semoga bermanfaat dan jangan lupa follow ya,kalo kalian lebih suka main smash terus dropshot wajah berpikir,[],benda serta ig main badminton gua part 3 kali ini gua dapet lawan yang kuat banget defense nya dan penempatan bolanya juga rapi jadi gua harus bener bener sabar dan hemat tenaga atur tempo permainan defense main lock cari area yang kosong lock lagi drop shot jadi kedapet momen yang pas baru hajar smash nah kalian juga harus bisa baca permainan lawan ya kalo lawannya kuat defense ya jangan di smash terus nanti tenaga kalian cepet habis dan jadi sulit di poin poin akhir harus bintar baca area yang kosong karena badminton itu ga cuma permainan power tapi butuh juga konsentrasi dan kecerdasan otak main sabar aja tenang nanti juga ketika lawan catfishnya udah berkurang pasti ada titik serang yang enak atau lawan bikin error semoga bermanfaat dan jangan lupa follow ya kalo kalian lebih suka main smash terus dropshot wajah berpikir,[],156,8,1985,2025-04-16 14:16:50+00:00,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/490806629_17905585575133329_7105253342262045226_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHg8Kdd5HosKHBlg42splqqacHSA4NPt_RZcGptkQQYUvlaQ1v1r8puGvdQgCVZRFk&_nc_ohc=02Lf5u5xurUQ7kNvwGfcbtX&_nc_gid=IvCQg61H13oAa4CvxbuVEA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Affw-74wsFJ2jltDcIyFVxIA0N-3wI2CR4p8JUhn58_2HA&oe=68E6B18F&_nc_sid=d885a2,750,1333,/content/drive/MyDrive/Semi_Nuked/raw_videos/0005.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0005.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0005_clean.flac,0.0826196473551221,Fitness & Gym
6,Anger,False,diosmashh,benda strategi main badminton gua part 2 di match ini kita bisa perhatiin cara rotasi gua sama partner gua ketika dapet potensi untuk bisa smash partner gua langsung ambil posisi backup di depan tapi karena power smash gua kurang jadi lawan gua gampang buat balikin ke arah yang kosong akhirnya gua ketinggalan untuk kejar bola dan gua memutuskan untuk backhand tipis ke depannya beruntungnya lawan erol akhirnya gua main sabar dulu lebih tenang kasih dropshot silang dan smash ke arah lawan yang abis ambil dropshot karena posisi lawan belum 100 siap tapi kali ini partner gua erol dikit tapi akhirnya game ini gua berhasil menang bareng partner gua gimana lanjut part 3 gak nih semoga kalian bisa belajar dari strategi dan kesalahan yang gua lakuin ya jangan perfollow,lanjut part ga nih wajah berpikir,[],benda strategi main badminton gua part 2 di match ini kita bisa perhatiin cara rotasi gua sama partner gua ketika dapet potensi untuk bisa smash partner gua langsung ambil posisi backup di depan tapi karena power smash gua kurang jadi lawan gua gampang buat balikin ke arah yang kosong akhirnya gua ketinggalan untuk kejar bola dan gua memutuskan untuk backhand tipis ke depannya beruntungnya lawan erol akhirnya gua main sabar dulu lebih tenang kasih dropshot silang dan smash ke arah lawan yang abis ambil dropshot karena posisi lawan belum 100 siap tapi kali ini partner gua erol dikit tapi akhirnya game ini gua berhasil menang bareng partner gua gimana lanjut part 3 gak nih semoga kalian bisa belajar dari strategi dan kesalahan yang gua lakuin ya jangan perfollow lanjut part ga nih wajah berpikir,[],104,4,1278,2025-04-15 10:56:02+00:00,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/491430719_17905468272133329_2434374436940605459_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFia4y7TCSxejCmv82e0p2VHG3sA4vN6S4IZYmLnaMfvqo4l0_ram6JMDk2c-CGKwU&_nc_ohc=dpNrz5A3QncQ7kNvwGbjll1&_nc_gid=6h04Vu7LBJ8hbQhKddNq_Q&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdhyD_UcADxvOxXvnQgNFJ-RjZrvIGobypoi0UBirBemg&oe=68E67FEC&_nc_sid=d885a2,750,1333,/content/drive/MyDrive/Semi_Nuked/raw_videos/0006.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0006.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0006_clean.flac,0.084507042253455,Fitness & Gym
7,Surprise,False,diosmashh,bikin lawan kalian kaget pake cara terima servis kayak gini pertama seolah olah kita mau menerima servis dan akan memukul dengan kencang tetapi di detik detik akhir kita pukul kok secara perlahan ya atau kalian bisa juga seperti ini seolah olah kita mau memukul ke arah yang lurus tetapi di detik detik akhir kita belokin arah raket dan koknya ya gimana udah siap cobain ke lapangan jangan lupa follow ya,gassss langsung isengin lawan kalian pake cara yaa tanda seru ganda,[],bikin lawan kalian kaget pake cara terima servis kayak gini pertama seolah olah kita mau menerima servis dan akan memukul dengan kencang tetapi di detik detik akhir kita pukul kok secara perlahan ya atau kalian bisa juga seperti ini seolah olah kita mau memukul ke arah yang lurus tetapi di detik detik akhir kita belokin arah raket dan koknya ya gimana udah siap cobain ke lapangan jangan lupa follow ya gassss langsung isengin lawan kalian pake cara yaa tanda seru ganda,[],1046,21,20070,2024-10-12 12:02:49+00:00,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/504121587_722739183632565_2907193241416312839_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QH-WfMFWOIlQ-D5JzDtBrYN0ZATc4E0gI7UnDsdGH0AGZC0gd1mNNHi4aFqWxZKiUY&_nc_ohc=6UZaBV0iiKkQ7kNvwGDOAHY&_nc_gid=S1EZzNMHYychQGdfv3lW4w&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Affa2J594pz5fghLDe8WGGisWOBmWhicOgJBJnPkGFEOLA&oe=68E685C7&_nc_sid=d885a2,750,1333,/content/drive/MyDrive/Semi_Nuked/raw_videos/0007.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0007.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0007_clean.flac,0.05316392625809401,Fitness & Gym
8,Surprise,False,diosmashh,bola di tengah harusnya siapa yang ambil ya dalam permainan ganda sebaiknya saling menjaga dan menutupi area yang kosong jadi ketika teman kita berada di posisi yang kurang tepat untuk defend sebisa mungkin kita saling menjaga area pertahanan jadi gak usah nyalahin temen ya yang penting main fun dan olahraga bareng menurut kalian gimana siapa yang harus ambil coba komen di bawah,jadi siapa yg ambil yaa wajah berpikir,[],bola di tengah harusnya siapa yang ambil ya dalam permainan ganda sebaiknya saling menjaga dan menutupi area yang kosong jadi ketika teman kita berada di posisi yang kurang tepat untuk defend sebisa mungkin kita saling menjaga area pertahanan jadi gak usah nyalahin temen ya yang penting main fun dan olahraga bareng menurut kalian gimana siapa yang harus ambil coba komen di bawah jadi siapa yg ambil yaa wajah berpikir,[],233,31,6405,2025-01-13 12:11:16+00:00,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/473674862_17894848134133329_6290826110139351057_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QH5BFTPPXdNJx9yoEDB_bSICB5LBzDwKiL-IZ2T7RaKPW-vHP4s7Vine73COq1od7k&_nc_ohc=50BIA3Yte74Q7kNvwH_pPcA&_nc_gid=tlqZNd7gdKk-06powiSWdQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfePxzXdUPB8HkqQ7IirnXeJqM9TmkuGGqWcsa3Sh9flPA&oe=68E696BC&_nc_sid=d885a2,750,1333,/content/drive/MyDrive/Semi_Nuked/raw_videos/0008.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0008.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0008_clean.flac,0.041217798594841336,Fitness & Gym
9,Proud,False,ameliafransissca,boleh mau lap keringet dulu dilap dulu karena lumayan gobyos banget ini gerakannya karena abis ini kita bakalan lebih gobyos lagi yaitu bakalan ngelakuin mountain climber tapi kalian udah gak asing kan denger nama mountain climber let s go ya tidak sudah cukup kita mulai ke posisi seperti orang ingin plank nah seperti ini habis itu bawa kaki ke depan oke let s go kita mulai wuh,sumpah beneran gerakanya bikin gobyos banget fullnya tonton chanel youtube amelia fransisca yaa,"['gymtips', 'cewegym', 'gymtipsforbeginners', 'gymrat', 'fitness', 'gym', 'gymgirl', 'gymlife', 'gymmotivation']",boleh mau lap keringet dulu dilap dulu karena lumayan gobyos banget ini gerakannya karena abis ini kita bakalan lebih gobyos lagi yaitu bakalan ngelakuin mountain climber tapi kalian udah gak asing kan denger nama mountain climber let s go ya tidak sudah cukup kita mulai ke posisi seperti orang ingin plank nah seperti ini habis itu bawa kaki ke depan oke let s go kita mulai wuh sumpah beneran gerakanya bikin gobyos banget fullnya tonton chanel youtube amelia fransisca yaa gymtips cewegym gymtipsforbeginners gymrat fitness gym gymgirl gymlife gymmotivation,[],481,4,12298,2025-07-30 08:10:34+00:00,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/526762867_1816743065941484_2345999201597939037_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QEo3I-0ZcyfTkCGsIA_EMYmZoiKEAYC-U0oMygRAmfnkeXlU1a4zs31Amy8qEEWYtk&_nc_ohc=hNufLt-xJoEQ7kNvwHZqIHZ&_nc_gid=A_20cjgBnJUxxwC8cQrdWg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afd94v0MK9Y4Zpk6mlvPeWk2h4QDb3VV24Dvl-xv0h546A&oe=68E692C9&_nc_sid=d885a2,640,1136,/content/drive/MyDrive/Semi_Nuked/raw_videos/0009.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0009.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0009_clean.flac,0.039437306879164136,Fitness & Gym
10,Proud,False,diosmashh,defense lo lemah siap siap pasti lawan langsung ngincar lo terus jangan sampai lo jadi korban di lapangan ya defense itu salah satu skill yang penting juga buat pemula gini tip defense biar defense lo makin kuat dan gak diincah terus sama lawan pertama posisi racket harus selalu di depan badan kita dan kasih sedikit jarak jadi kita bisa kasih refleks yang bagus walaupun smash lawan kenceng posisi kaki agak dibuka ya dan kasih sedikit kuda kuda biar badan kita stabil dan gak kaget sama smash lawan nah kalau bola berada sejajar sama kepala kita kita lepas aja udah pasti smashnya out jadi jangan takut dan harus tetap tenang ya gimana udah siap cobain di lapangan jangan lupa follow ya,defense lemah diincer teruss tanda seru ganda,[],defense lo lemah siap siap pasti lawan langsung ngincar lo terus jangan sampai lo jadi korban di lapangan ya defense itu salah satu skill yang penting juga buat pemula gini tip defense biar defense lo makin kuat dan gak diincah terus sama lawan pertama posisi racket harus selalu di depan badan kita dan kasih sedikit jarak jadi kita bisa kasih refleks yang bagus walaupun smash lawan kenceng posisi kaki agak dibuka ya dan kasih sedikit kuda kuda biar badan kita stabil dan gak kaget sama smash lawan nah kalau bola berada sejajar sama kepala kita kita lepas aja udah pasti smashnya out jadi jangan takut dan harus tetap tenang ya gimana udah siap cobain di lapangan jangan lupa follow ya defense lemah diincer teruss tanda seru ganda,[],65,1,199,2025-07-12 14:59:07+00:00,https://scontent-ord5-3.cdninstagram.com/v/t51.2885-15/518887787_750534774009744_8570074828059535726_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-ord5-3.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QFb8j9hnNTbsJI4Zm1CiGir3Wg2A-FpkhypsNKkdefSWU2RRSOs1eAO9xiBHzzGzXw&_nc_ohc=ouKYbeOdW7EQ7kNvwE-gC6Q&_nc_gid=vOu9j1XoXCa7NWkNn6FZpQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afdud0hoUT4c9F1oFaSyl_Tv4ukp7CbUQzTj1mBeiDV_xw&oe=68E6A368&_nc_sid=d885a2,640,1136,/content/drive/MyDrive/Semi_Nuked/raw_videos/0010.mp4,/content/drive/MyDrive/Semi_Nuked/raw_audios/0010.wav,/content/drive/MyDrive/Semi_Nuked/cleaned_audios/0010_clean.flac,0.3316582914556198,Fitness & Gym
